Season;Gameweek;Home team;Away team;Possession PSV (%);Chances PSV;Crosses PSV;Set piece goals PSV;Shots PSV (incl. blocks);Shots PSV (excl. blocks);Goals PSV;Conversion PSV (w/shots);Conversion PSV (w/chances)
2014/2015;1;Willem II;PSV ;56;8;14;1;17;11;3;27,27272727;37,5
2014/2015;2;PSV;NAC;54;11;14;2;15;12;6;50;54,54545455
2014/2015;3;Ajax;PSV ;41;11;12;0;13;12;3;25;27,27272727
2014/2015;4;PSV;Vitesse;43;13;16;0;16;13;2;15,38461538;15,38461538
2014/2015;5;Zwolle;PSV;52;9;22;1;13;11;1;9,090909091;11,11111111
2014/2015;6;PSV;Cambuur;48;13;25;2;18;15;4;26,66666667;30,76923077
2014/2015;7;Heerenveen;PSV;56;17;25;0;19;10;0;0;0
2014/2015;8;PSV;Excelsior;52;11;29;0;18;16;3;18,75;27,27272727
2014/2015;9;PSV;AZ;56;13;24;0;18;16;3;18,75;23,07692308
2014/2015;10;Utrecht;PSV;56;21;29;1;25;22;5;22,72727273;23,80952381
2014/2015;11;PSV ;Den Haag;50;8;19;0;9;8;1;12,5;12,5
2014/2015;12;Heracles;PSV;55;16;25;1;29;13;2;15,38461538;12,5
2014/2015;13;Groningen;PSV;50;23;26;0;26;20;1;5;4,347826087
2014/2015;14;Dordrecht;PSV;47;10;50;2;40;30;3;10;30
2014/2015;15;PSV;Twente;59;32;26;0;19;16;2;12,5;6,25
2014/2015;16;PSV;Feyenoord;47;16;22;1;15;12;4;33,33333333;25
2014/2015;17;PSV;Go Ahead;54;17;19;1;21;19;5;26,31578947;29,41176471
2014/2015;18;Vitesse;PSV;45;8;11;0;12;10;1;10;12,5
2014/2015;19;Cambuur;PSV;42;5;20;1;9;6;2;33,33333333;40
2014/2015;20;PSV;Willem II;55;15;30;1;20;17;2;11,76470588;13,33333333
2014/2015;21;NAC;PSV;49;13;24;0;15;10;2;20;15,38461538
2014/2015;22;PSV;Utrecht;52;12;27;1;16;15;3;20;25
2014/2015;23;AZ;PSV;47;11;19;1;15;13;4;30,76923077;36,36363636
2014/2015;24;PSV;Dordrecht;61;15;37;2;19;17;3;17,64705882;20
2014/2015;25;PSV;Ajax;54;19;32;0;22;18;1;5,555555556;5,263157895
2014/2015;26;Go Ahead;PSV;55;7;24;2;14;11;3;27,27272727;42,85714286
2014/2015;27;PSV;Groningen;49;15;25;1;19;15;2;13,33333333;13,33333333
2014/2015;28;Feyenoord;PSV;50;4;13;0;9;8;1;12,5;25
